id,name,lat,lon,capacity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
30,"Windsor Terrace, Hoxton",51.52915444,-0.093421615,24,15.0,15.0,15.0,15.0,15.833333333333334,16.0,15.833333333333334,13.833333333333334,12.0,9.333333333333334,8.666666666666666,9.0,9.0,9.166666666666666,16.166666666666668,22.333333333333332,22.666666666666668,23.333333333333332,22.5,24.0,23.833333333333332,21.333333333333332,15.0,15.0
31,"Fanshaw Street, Hoxton",51.52953709,-0.083353323,35,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0,15.166666666666666,24.166666666666668,33.833333333333336,33.5,28.5,26.833333333333332,27.0,26.833333333333332,26.833333333333332,24.833333333333332,28.8,33.833333333333336,28.5,25.333333333333332,20.5,21.0
31,"Fanshaw Street, Hoxton",51.52953709,-0.083353323,36,,,,,,,,,,,,,,,,,,,25.0,,,,,
32,"Leonard Circus , Shoreditch",51.52469624,-0.084439283,41,,,,,,,,,36.0,39.0,41.0,,,,,,,,,,,,,
32,"Leonard Circus , Shoreditch",51.52469624,-0.084439283,42,24.5,24.0,24.0,24.0,24.0,24.0,23.333333333333332,24.833333333333332,32.0,,41.75,39.833333333333336,39.5,,,,,,,,,27.5,25.5,25.0
32,"Leonard Circus , Shoreditch",51.52469624,-0.084439283,43,,,,,,,,,,,,,40.5,37.333333333333336,37.666666666666664,40.666666666666664,39.5,31.5,23.666666666666668,18.666666666666668,20.833333333333332,19.75,,
33,"Central House, Aldgate",51.5156,-0.070056,18,3.1666666666666665,3.0,3.0,3.0,3.0,3.0,3.0,2.5,2.6666666666666665,11.5,13.166666666666666,11.333333333333334,11.166666666666666,11.333333333333334,8.5,8.5,8.833333333333334,5.166666666666667,4.666666666666667,5.5,5.833333333333333,5.666666666666667,4.5,3.0
34,"Pancras Road, King's Cross",51.5341235,-0.129386874,16,8.0,8.0,9.0,8.333333333333334,8.0,8.0,8.333333333333334,8.0,6.833333333333333,4.166666666666667,4.666666666666667,4.5,4.666666666666667,6.5,9.166666666666666,11.5,9.333333333333334,8.5,7.166666666666667,6.666666666666667,7.333333333333333,7.666666666666667,9.0,8.0
36,"De Vere Gardens, Kensington",51.50173726,-0.184980612,28,27.0,27.0,27.0,27.0,27.0,27.0,28.0,27.333333333333332,24.666666666666668,25.166666666666668,28.0,27.666666666666668,27.666666666666668,27.5,27.666666666666668,26.5,26.166666666666668,27.0,27.666666666666668,26.5,19.333333333333332,17.5,26.5,27.0
37,"Penywern Road, Earl's Court",51.49159394,-0.192369256,17,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.1666666666666665,1.3333333333333333,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,2.3333333333333335,3.6666666666666665,2.3333333333333335,0.6666666666666666,1.8333333333333333,2.8333333333333335,8.833333333333334,8.833333333333334,3.0,3.0
38,"Abingdon Villas, Kensington",51.4973875,-0.197245586,15,,,,,,,,,,,,,,,,,,2.5,4.166666666666667,7.666666666666667,8.166666666666666,9.25,,
38,"Abingdon Villas, Kensington",51.4973875,-0.197245586,16,,,,,,,,,,,,,,0.0,0.0,0.3333333333333333,0.5,2.0,,,,,,
38,"Abingdon Villas, Kensington",51.4973875,-0.197245586,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.1666666666666665,1.8333333333333333,0.5,0.5,,,,,,,,1.0,0.0,0.0
39,"Shoreditch High Street, Shoreditch",51.5263778,-0.078130921,40,,,,,,,,,,,,,38.666666666666664,36.0,37.5,37.166666666666664,39.0,,,,,,,
39,"Shoreditch High Street, Shoreditch",51.5263778,-0.078130921,41,34.166666666666664,35.0,35.0,35.0,35.0,35.0,35.0,34.833333333333336,33.666666666666664,38.166666666666664,40.833333333333336,39.166666666666664,,,,,39.75,39.0,32.666666666666664,30.833333333333332,32.833333333333336,33.333333333333336,36.0,33.833333333333336
40,"Commercial Street, Shoreditch",51.52127071,-0.0755789,16,7.0,7.0,6.166666666666667,6.0,6.0,6.0,5.666666666666667,5.0,4.833333333333333,5.5,6.0,5.0,6.833333333333333,9.0,9.0,8.166666666666666,9.666666666666666,9.666666666666666,8.666666666666666,8.833333333333334,8.833333333333334,8.333333333333334,7.166666666666667,7.5
41,"Sun Street, Liverpool Street",51.52001715,-0.083911168,24,2.0,1.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,8.5,14.5,17.666666666666668,18.0,18.0,17.666666666666668,18.0,18.0,18.333333333333332,17.333333333333332,15.166666666666666,10.833333333333334,5.333333333333333,3.0,2.6666666666666665,2.0
42,"Wenlock Road , Hoxton",51.53099181,-0.093903825,27,,,,,,,,,,,,20.5,19.0,20.333333333333332,21.8,,,,,,,,,
42,"Wenlock Road , Hoxton",51.53099181,-0.093903825,28,19.5,20.166666666666668,21.0,21.0,21.0,20.666666666666668,18.666666666666668,16.833333333333332,7.5,8.0,21.833333333333332,21.0,,,22.0,24.0,22.333333333333332,24.0,23.5,27.333333333333332,27.0,24.833333333333332,19.0,19.0
43,"Crawford Street, Marylebone",51.52026,-0.157183945,16,,,,,,,,,8.0,7.666666666666667,9.5,8.666666666666666,11.333333333333334,,,,,,,,,,,
43,"Crawford Street, Marylebone",51.52026,-0.157183945,17,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.833333333333333,7.0,,,,12.333333333333334,13.833333333333334,15.166666666666666,16.5,15.333333333333334,15.0,14.833333333333334,15.0,14.5,13.333333333333334,10.666666666666666,8.5
44,"Bruton Street, Mayfair",51.51073687,-0.144165239,21,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.666666666666668,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.333333333333332,20.0,16.333333333333332,8.0,1.5,1.1666666666666667,5.666666666666667,17.0,15.833333333333334
45,"Boston Place, Marylebone",51.522511,-0.162298,24,,,,,,,,,9.0,0.0,14.833333333333334,11.166666666666666,7.666666666666667,4.833333333333333,5.833333333333333,,,,,,,,,
45,"Boston Place, Marylebone",51.522511,-0.162298,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,,,,,,,7.0,10.666666666666666,16.333333333333332,23.0,25.0,23.666666666666668,14.333333333333334,0.0,0.0
46,"Nesham Street, Wapping",51.507131,-0.06691,15,,,,,,,,,,4.2,8.0,10.333333333333334,10.333333333333334,10.166666666666666,,,,,,,,,,
46,"Nesham Street, Wapping",51.507131,-0.06691,16,15.0,15.0,15.666666666666666,16.0,16.0,16.0,15.666666666666666,14.0,9.833333333333334,7.0,,,,,11.166666666666666,8.833333333333334,9.333333333333334,12.333333333333334,14.833333333333334,14.666666666666666,14.833333333333334,14.833333333333334,13.0,13.666666666666666
47,"Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408,17,15.666666666666666,17.0,17.0,17.0,17.0,16.666666666666668,14.0,11.0,3.5,0.0,0.16666666666666666,0.0,,,,,,,,,,,14.5,14.5
47,"Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408,18,,,,,,,,,,,,,,,,,12.833333333333334,10.5,11.666666666666666,13.833333333333334,16.0,16.833333333333332,,
47,"Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408,19,,,,,,,,,,,,1.5,0.0,6.666666666666667,12.0,13.333333333333334,,,,,,,,
48,"Godliman Street, St. Paul's",51.51248445,-0.099141408,24,,,,,,,,,23.0,24.0,23.666666666666668,24.0,16.833333333333332,14.666666666666666,15.833333333333334,16.5,19.333333333333332,,,,,,,
48,"Godliman Street, St. Paul's",51.51248445,-0.099141408,25,9.833333333333334,9.0,9.0,8.5,8.0,8.0,8.833333333333334,11.666666666666666,16.75,,,,,,,,,14.333333333333334,0.8333333333333334,5.166666666666667,3.3333333333333335,3.8333333333333335,10.0,10.166666666666666
49,"Curzon Street, Mayfair",51.50706909,-0.145904427,16,3.0,3.0,3.0,3.0,3.0,3.0,3.1666666666666665,4.166666666666667,9.666666666666666,14.5,15.833333333333334,15.833333333333334,16.0,14.5,16.0,15.166666666666666,15.166666666666666,14.333333333333334,6.833333333333333,7.0,3.3333333333333335,1.5,3.3333333333333335,3.0
50,"East Road, Hoxton",51.52867339,-0.087459376,27,7.0,7.166666666666667,8.0,8.0,8.0,7.833333333333333,7.0,7.333333333333333,12.0,18.166666666666668,18.333333333333332,19.0,18.833333333333332,17.5,16.666666666666668,18.333333333333332,17.666666666666668,17.333333333333332,13.166666666666666,17.0,17.5,15.166666666666666,6.0,6.333333333333333
51,"Finsbury Library , Finsbury",51.52671796,-0.104298194,28,,,,,,,,,,,,,,,,,,,,1.6666666666666667,2.1666666666666665,4.0,,
51,"Finsbury Library , Finsbury",51.52671796,-0.104298194,29,6.0,7.0,7.0,7.0,7.0,7.0,6.833333333333333,7.0,6.5,8.833333333333334,9.5,8.166666666666666,7.666666666666667,8.333333333333334,10.0,9.333333333333334,7.666666666666667,5.5,4.833333333333333,2.3333333333333335,,5.0,5.0,6.166666666666667
52,"Roscoe Street, St. Luke's",51.52295439,-0.094934859,18,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.166666666666666,9.666666666666666,10.5,7.166666666666667,5.5,6.666666666666667,7.833333333333333,3.8333333333333335,4.5,5.0,3.6666666666666665,0.8333333333333334,0.6666666666666666,0.8333333333333334,3.8333333333333335,11.166666666666666,11.0
53,"Grafton Street, Mayfair",51.5099923,-0.143495266,18,16.0,16.0,16.0,16.0,16.0,16.0,16.833333333333332,18.0,10.0,11.333333333333334,10.833333333333334,14.0,17.0,17.833333333333332,18.0,18.0,18.0,14.333333333333334,11.333333333333334,2.1666666666666665,0.5,5.833333333333333,17.0,17.0
54,"Golden Lane, Barbican",51.52174785,-0.094475072,27,5.0,5.0,5.0,5.0,5.0,4.333333333333333,3.3333333333333335,3.0,1.8333333333333333,0.8333333333333334,0.0,0.5,1.8333333333333333,2.1666666666666665,0.8333333333333334,1.3333333333333333,1.5,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,4.166666666666667,5.0
55,"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,31,,,,,,,,,12.5,10.5,6.166666666666667,5.166666666666667,8.0,8.0,,,,,,,,,,
55,"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,32,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,5.666666666666667,9.0,10.0,,,,9.25,8.833333333333334,9.0,10.166666666666666,6.833333333333333,6.333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
56,"Paddington Street, Marylebone",51.52058381,-0.154701411,15,8.0,8.0,8.0,8.0,8.0,8.0,9.166666666666666,7.666666666666667,11.0,13.333333333333334,14.0,13.0,12.666666666666666,12.333333333333334,13.5,11.0,7.833333333333333,9.666666666666666,11.0,13.0,11.333333333333334,11.333333333333334,8.666666666666666,9.0
57,"Guilford Street , Bloomsbury",51.52334672,-0.120202614,32,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8333333333333335,11.0,16.0,16.0,17.833333333333332,22.833333333333332,25.833333333333332,28.5,29.833333333333332,26.333333333333332,14.166666666666666,6.0,2.3333333333333335,2.5,0.3333333333333333,1.0,1.1666666666666667
58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,18,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,3.1666666666666665,7.333333333333333,7.666666666666667,,,,,,,,,,,4.0,2.0,1.1666666666666667
58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,19,,,,,,,,,,,8.0,7.0,12.833333333333334,17.166666666666668,12.5,12.666666666666666,13.0,,,,,,,
58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,20,,,,,,,,,,,,,,,,,14.8,14.333333333333334,14.5,14.333333333333334,11.0,10.75,,
60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,16,,,,,,,,,,,,4.25,3.3333333333333335,3.1666666666666665,5.166666666666667,3.0,2.6666666666666665,2.0,3.6666666666666665,5.5,5.5,6.0,,
60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,17,,,,,,,,,5.5,5.5,5.666666666666667,4.0,,,,,,,,,,,,
60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,18,7.0,7.0,7.0,7.0,7.0,6.5,6.0,5.833333333333333,5.5,,,,,,,,,,,,,6.0,6.333333333333333,7.0
61,"Great Dover Street, The Borough",51.49738251,-0.089446947,33,33.0,33.0,33.0,33.0,33.0,32.0,30.666666666666668,28.833333333333332,18.833333333333332,9.166666666666666,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,1.0,2.1666666666666665,2.6666666666666665,3.5,7.666666666666667,11.666666666666666,17.666666666666668,25.166666666666668,33.0,33.0
62,"Cotton Garden Estate, Kennington",51.4907579,-0.106323685,24,21.0,21.0,22.0,22.0,22.0,22.0,21.333333333333332,20.833333333333332,16.5,12.833333333333334,12.166666666666666,11.5,10.833333333333334,10.833333333333334,12.0,12.166666666666666,11.5,11.166666666666666,11.833333333333334,15.0,16.166666666666668,18.166666666666668,19.0,20.0
63,"Murray Grove , Hoxton",51.53089041,-0.089782579,24,18.166666666666668,19.0,19.0,19.0,19.0,18.5,17.166666666666668,16.333333333333332,12.666666666666666,6.166666666666667,5.0,3.6666666666666665,9.166666666666666,20.0,20.0,19.833333333333332,18.833333333333332,18.333333333333332,18.0,,,17.0,17.0,17.333333333333332
63,"Murray Grove , Hoxton",51.53089041,-0.089782579,27,,,,,,,,,,,,,,,,,,,21.25,24.333333333333332,27.0,27.0,,
64,"William IV Street, Strand",51.50946212,-0.124749274,25,,,,,,,,,8.5,11.833333333333334,15.5,21.0,21.5,20.666666666666668,22.166666666666668,24.0,23.5,19.333333333333332,11.833333333333334,12.833333333333334,8.666666666666666,6.0,,
64,"William IV Street, Strand",51.50946212,-0.124749274,26,23.333333333333332,23.0,23.0,22.166666666666668,23.0,23.666666666666668,23.833333333333332,24.0,26.0,,,,,,,,,,,,,24.0,24.0,24.0
65,"Gower Place , Euston",51.52522753,-0.13518856,16,2.0,2.0,2.0,2.0,2.0,2.0,2.6666666666666665,3.6666666666666665,5.833333333333333,12.0,15.666666666666666,15.666666666666666,15.666666666666666,14.833333333333334,15.0,14.0,14.666666666666666,10.833333333333334,2.1666666666666665,0.0,1.3333333333333333,1.0,2.0,2.0
66,"Holborn Circus, Holborn",51.51795029,-0.108657431,37,,,,,,,,,,9.0,9.5,10.5,6.833333333333333,6.666666666666667,10.333333333333334,11.666666666666666,,,,,,,,
66,"Holborn Circus, Holborn",51.51795029,-0.108657431,38,,,,,,,,,,8.0,,,,,,,,,,,,,,
66,"Holborn Circus, Holborn",51.51795029,-0.108657431,39,,,,,,,,,9.333333333333334,9.0,,,,,,,,,,,,,,
66,"Holborn Circus, Holborn",51.51795029,-0.108657431,40,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,2.1666666666666665,7.666666666666667,,,,,,,16.0,21.666666666666668,31.666666666666668,15.5,1.3333333333333333,1.1666666666666667,0.6666666666666666,0.0,1.0
