index,id,name,lat,lon,capacity,hr,availableBikes
10083,466,"Whiston Road, Haggerston",51.534464,-0.076341,21,7,16.666666666666668
10084,467,"Southern Grove, Bow",51.523538,-0.030556,16,7,9.833333333333334
10085,467,"Southern Grove, Bow",51.523538,-0.030556,17,7,
10086,468,"Cantrell Road, Bow",51.521564,-0.022694,24,7,17.333333333333332
10087,469,"Lindfield Street, Poplar",51.513757,-0.020467,44,7,41.833333333333336
10088,470,"Mostyn Grove, Bow",51.530535,-0.025492,45,7,
10089,470,"Mostyn Grove, Bow",51.530535,-0.025492,46,7,8.166666666666666
10090,471,"Hewison Street, Old Ford",51.533283,-0.028155,19,7,11.0
10091,473,"Millharbour, Millwall",51.496137,-0.019355,19,7,18.666666666666668
10092,474,"Castalia Square, Cubitt Town",51.498125,-0.011457,19,7,18.333333333333332
10093,474,"Castalia Square, Cubitt Town",51.498125,-0.011457,20,7,
10094,475,"Lightermans Road, Millwall",51.499041,-0.020157,31,7,19.666666666666668
10095,476,"Stebondale Street, Cubitt Town",51.489096,-0.009205,28,7,28.0
10096,476,"Stebondale Street, Cubitt Town",51.489096,-0.009205,29,7,
10097,477,"Spindrift Avenue, Millwall",51.49109,-0.018716,36,7,20.333333333333332
10098,478,"Stepney Green Station, Stepney",51.521889,-0.04667,20,7,10.5
10099,478,"Stepney Green Station, Stepney",51.521889,-0.04667,21,7,
10100,479,"Pott Street, Bethnal Green",51.527152,-0.058005,20,7,16.166666666666668
10101,480,"Flamborough Street, Limehouse",51.5128711,-0.0389866,23,7,20.166666666666668
10102,480,"Flamborough Street, Limehouse",51.5128711,-0.0389866,24,7,
10103,480,"Flamborough Street, Limehouse",51.5128711,-0.0389866,25,7,
10104,481,"Saunders Ness Road, Cubitt Town",51.487129,-0.009001,35,7,27.833333333333332
10105,482,"Thornfield House, Poplar",51.509843,-0.02377,13,7,
10106,482,"Thornfield House, Poplar",51.509843,-0.02377,14,7,4.666666666666667
10107,483,"Albert Gardens, Stepney",51.51328,-0.047784,33,7,2.5
10108,484,"Bromley High Street, Bow",51.528828,-0.013258,24,7,10.0
10109,485,"Old Ford Road, Bethnal Green",51.531127,-0.048017,24,7,21.0
10110,486,"Granby Street, Shoreditch",51.525645,-0.069543,37,7,16.5
10111,487,"Canton Street, Poplar",51.511811,-0.025626,23,7,22.333333333333332
10112,488,"Reardon Street, Wapping",51.506946,-0.058681,21,7,
10113,488,"Reardon Street, Wapping",51.506946,-0.058681,22,7,4.666666666666667
10114,489,"Christian Street, Whitechapel",51.513074,-0.064094,33,7,21.833333333333332
10115,489,"Christian Street, Whitechapel",51.513074,-0.064094,34,7,
10116,490,"Pennington Street, Wapping",51.508622,-0.065006,44,7,31.5
10117,491,"Queen Mary's, Mile End",51.522507,-0.041378,44,7,
10118,491,"Queen Mary's, Mile End",51.522507,-0.041378,45,7,9.333333333333334
10119,492,"The Green Bridge, Mile End",51.524677,-0.03562,39,7,21.666666666666668
10120,494,"South Quay East, Canary Wharf",51.50196,-0.016251,36,7,11.0
10121,495,"Bow Church Station, Bow",51.528169,-0.018703,38,7,28.333333333333332
10122,495,"Bow Church Station, Bow",51.528169,-0.018703,39,7,
10123,496,"Devons Road, Bow",51.52512,-0.015578,38,7,27.166666666666668
10124,497,"Merchant Street, Bow",51.526177,-0.0274677,25,7,19.166666666666668
10125,498,"Bow Road Station, Bow",51.527058,-0.025296,42,7,24.333333333333332
10126,499,"Furze Green, Bow",51.519265,-0.021345,35,7,22.166666666666668
10127,500,"Ansell House, Stepney",51.519806,-0.055731,41,7,29.5
10128,501,"Cephas Street, Bethnal Green",51.522561,-0.054883,24,7,23.0
10129,503,"Cleveland Way, Stepney",51.520893,-0.051394,32,7,
10130,503,"Cleveland Way, Stepney",51.520893,-0.051394,33,7,
10131,503,"Cleveland Way, Stepney",51.520893,-0.051394,34,7,
10132,503,"Cleveland Way, Stepney",51.520893,-0.051394,35,7,31.5
10133,503,"Cleveland Way, Stepney",51.520893,-0.051394,36,7,
10134,504,"St. John's Park, Cubitt Town",51.496454,-0.009506,29,7,10.333333333333334
10135,505,"Ackroyd Drive, Bow",51.520398,-0.026768,28,7,
10136,505,"Ackroyd Drive, Bow",51.520398,-0.026768,29,7,5.833333333333333
10137,506,"Bell Lane, Liverpool Street",51.517475,-0.075855,23,7,8.5
10138,507,"Clarkson Street, Bethnal Green",51.528692,-0.059091,30,7,27.0
10139,507,"Clarkson Street, Bethnal Green",51.528692,-0.059091,31,7,
10140,508,"Fournier Street, Whitechapel",51.519362,-0.074431,18,7,13.0
10141,509,"Fore Street, Guildhall",51.517842,-0.090075,18,7,13.0
10142,509,"Fore Street, Guildhall",51.517842,-0.090075,19,7,6.0
10143,510,"Westferry DLR, Limehouse",51.509303,-0.025996,40,7,39.5
10144,510,"Westferry DLR, Limehouse",51.509303,-0.025996,41,7,
10145,511,"Sutton Street, Shadwell",51.511066,-0.053558,32,7,23.666666666666668
10146,511,"Sutton Street, Shadwell",51.511066,-0.053558,33,7,
10147,512,"Pritchard's Road, Bethnal Green",51.532091,-0.06142,30,7,28.0
10148,513,"Watney Market, Stepney",51.5142228,-0.055656,50,7,32.0
10149,514,"Portman Square, Marylebone",51.516204,-0.155525,15,7,
10150,514,"Portman Square, Marylebone",51.516204,-0.155525,16,7,3.6666666666666665
10151,514,"Portman Square, Marylebone",51.516204,-0.155525,17,7,
10152,515,"Russell Gardens, Olympia",51.500088,-0.211316,24,7,0.3333333333333333
10153,516,"Chrisp Street Market, Poplar",51.5112,-0.014438,18,7,16.666666666666668
10154,517,"Ford Road, Old Ford",51.532513,-0.033085,17,7,8.166666666666666
10155,517,"Ford Road, Old Ford",51.532513,-0.033085,18,7,
